headline,news_link
Iconic RK Studios in Mumbai bought by Godrej Properties,https://www.hindustantimes.com/bollywood/iconic-rk-studios-in-mumbai-bought-by-godrej-properties/story-dMD1aK8fJ6baXNmoTJHttI.html
"This is how Shraddha, Varun are preparing for Remo Douza’s Street Dancer 3D",https://www.hindustantimes.com/bollywood/street-dancer-3d-this-is-how-varun-dhawan-shraddha-kapoor-are-preparing-for-film-watch-video/story-henNDijMq1oOzQkXuffTvM.html
"Have you seen these pics of Vicky Kaushal, Sunny Leone and Malaika?",https://www.hindustantimes.com/bollywood/have-you-seen-latest-pics-of-sunny-leone-with-her-twins-malaika-arora-and-kiara-advani/story-R6X6kPLfJjG74zcB8UIWUJ.html
