headline,news_link
"CBSE Class 12th 2nd rank holder gives credit to her family and best friend, plans to take UPSC",https://www.indiatoday.in/education-today/featurephilia/story/cbse-class-12th-2nd-rank-holder-gaurangi-chawla-gives-credit-to-her-family-and-best-friend-plans-to-take-upsc-1515267-2019-05-02
Why Cyclone Fani will be fearsome on Friday,https://www.indiatoday.in/india/story/cyclone-fani-extremely-severe-storm-friday-may-3-odisha-andhra-pradesh-west-bengal-1515438-2019-05-02
Cyclone Fani LIVE Updates: Landfall now expected between 12 pm-2 pm tomorrow ,https://www.indiatoday.in/india/story/cyclone-fani-live-updates-storm-news-tamil-nadu-coast-odisha-1514981-2019-05-02
Watch: Dhoni Reveals How He Keeps Up With Imran Tahir's Wild Celebrations,https://sports.ndtv.com/ipl-2019/ms-dhoni-reveals-how-he-keeps-up-with-imran-tahirs-wild-celebrations-watch-2031799?News_Trending
This Pic Of The Kapoor Brothers Is The Perfect Throwback Thursday Treat,https://www.ndtv.com/entertainment/this-pic-of-the-kapoor-brothers-is-the-perfect-throwback-thursday-treat-2031847?News_Trending
