headline,news_link
"Ireland vs England, Only ODI in Dublin: Live cricket score and updates",https://www.hindustantimes.com/cricket/ireland-vs-england-only-odi-in-dublin-live-cricket-score-and-updates/story-hvOeEMhkclznmqtkLhOJFP.html
IPL: Rahane re-appointed Rajasthan Royals captain,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ajinkya-rahane-re-appointed-rajasthan-royals-captain-following-steve-smiths-departure/articleshow/69164604.cms
"'Gambhir has no great records, just a lot of attitude'",https://www.hindustantimes.com/cricket/ireland-vs-england-only-odi-in-dublin-live-cricket-score-and-updates/story-hvOeEMhkclznmqtkLhOJFP.html
